Sector,Fecha,Hora,Mp10,Mp2_5
universidad ,25/04/2019,11,130,127
centro ,25/04/2019,12,111,104
universidad ,25/04/2019,12,140,137
centro ,25/04/2019,13,99,93
universidad ,25/04/2019,13,105,103
centro ,25/04/2019,14,86,80
universidad ,25/04/2019,14,76,74
centro ,25/04/2019,15,68,64
universidad ,25/04/2019,15,68,66
centro ,25/04/2019,16,57,53
universidad ,25/04/2019,16,57,55
centro ,25/04/2019,17,64,59
centro ,25/04/2019,18,103,97
centro ,25/04/2019,19,100,92
centro ,25/04/2019,20,109,102
centro ,25/04/2019,21,114,105
centro ,25/04/2019,22,121,112
centro ,25/04/2019,23,77,72
centro ,26/04/2019,0,76,70
centro ,26/04/2019,1,71,66
centro ,26/04/2019,2,74,68
centro ,26/04/2019,3,68,64
centro ,26/04/2019,4,78,73
centro ,26/04/2019,5,76,70
centro ,26/04/2019,6,87,80
centro ,26/04/2019,7,88,82
centro ,26/04/2019,8,88,81
centro ,26/04/2019,9,95,87
universidad ,26/04/2019,9,97,95
centro ,26/04/2019,10,99,92
universidad ,26/04/2019,10,91,89
centro ,26/04/2019,11,73,68
universidad ,26/04/2019,11,50,48
centro ,26/04/2019,12,66,62
universidad ,26/04/2019,12,49,47
centro ,26/04/2019,13,81,76
universidad ,26/04/2019,13,53,51
centro ,26/04/2019,14,73,69
universidad ,26/04/2019,14,45,43
centro ,26/04/2019,15,50,47
universidad ,26/04/2019,15,30,28
centro ,26/04/2019,16,36,33
universidad ,26/04/2019,16,25,24
centro ,26/04/2019,17,34,32
universidad ,26/04/2019,17,27,25
amanecer ,26/04/2019,18,297,285
centro ,26/04/2019,18,52,49
universidad ,26/04/2019,18,38,36
amanecer ,26/04/2019,19,197,190
centro ,26/04/2019,19,79,75
universidad ,26/04/2019,19,55,52
amanecer ,26/04/2019,20,238,228
centro ,26/04/2019,20,67,63
universidad ,26/04/2019,20,41,39
amanecer ,26/04/2019,21,261,248
centro ,26/04/2019,21,97,91
universidad ,26/04/2019,21,70,68
amanecer ,26/04/2019,22,150,144
centro ,26/04/2019,22,80,75
universidad ,26/04/2019,22,112,110
amanecer ,26/04/2019,23,233,223
centro ,26/04/2019,23,81,76
universidad ,26/04/2019,23,71,69
amanecer ,27/04/2019,0,185,177
centro ,27/04/2019,0,112,105
universidad ,27/04/2019,0,94,91
amanecer ,27/04/2019,1,130,125
centro ,27/04/2019,1,86,81
universidad ,27/04/2019,1,100,98
amanecer ,27/04/2019,2,77,75
centro ,27/04/2019,2,94,87
universidad ,27/04/2019,2,65,63
amanecer ,27/04/2019,3,75,73
centro ,27/04/2019,3,79,74
universidad ,27/04/2019,3,59,57
amanecer ,27/04/2019,4,60,58
centro ,27/04/2019,4,64,60
universidad ,27/04/2019,4,45,43
amanecer ,27/04/2019,5,62,60
centro ,27/04/2019,5,62,58
universidad ,27/04/2019,5,51,49
amanecer ,27/04/2019,6,65,63
centro ,27/04/2019,6,62,58
universidad ,27/04/2019,6,51,49
amanecer ,27/04/2019,7,75,73
centro ,27/04/2019,7,72,67
universidad ,27/04/2019,7,59,57
amanecer ,27/04/2019,8,87,84
centro ,27/04/2019,8,81,76
universidad ,27/04/2019,8,71,69
amanecer ,27/04/2019,9,95,93
centro ,27/04/2019,9,82,77
universidad ,27/04/2019,9,74,72
amanecer ,27/04/2019,10,93,91
centro ,27/04/2019,10,74,70
universidad ,27/04/2019,10,69,67
amanecer ,27/04/2019,11,94,92
centro ,27/04/2019,11,68,64
universidad ,27/04/2019,11,58,56
